param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
100,,1,2,0.8068046357615895,0.0007450535521683476,1
100,,1,6,0.8064161147902871,0.0006037900880744465,2
50,,1,6,0.8053311258278146,0.0006495001202242445,3
50,,1,2,0.8053024282560706,0.0006794528424975063,4
100,,1,10,0.8039094922737305,0.0008576279684701052,5
50,,1,10,0.8030607064017661,0.0007679581423455822,6
100,,5,2,0.7974955849889624,0.0006899328862941923,7
100,,5,6,0.7974955849889624,0.0006899328862941923,7
100,,5,10,0.7974955849889624,0.0006899328862941923,7
50,,5,10,0.7967030905077264,0.0006343419887834867,10
50,,5,2,0.7967030905077264,0.0006343419887834867,10
50,,5,6,0.7967030905077264,0.0006343419887834867,10
100,,10,10,0.7867958057395142,0.0002698128079114261,13
100,,10,2,0.7867958057395142,0.0002698128079114261,13
100,,10,6,0.7867958057395142,0.0002698128079114261,13
50,,10,2,0.7861611479028697,0.0003620679192837342,16
50,,10,10,0.7861611479028697,0.0003620679192837342,16
50,,10,6,0.7861611479028697,0.0003620679192837342,16
100,10,10,2,0.6147450331125828,0.0011196939339386477,19
100,10,10,10,0.6147450331125828,0.0011196939339386477,19
100,10,10,6,0.6147450331125828,0.0011196939339386477,19
100,10,1,10,0.6144602649006622,0.0003491838342151918,22
50,10,1,2,0.6143256070640176,0.00127391622370353,23
50,10,10,2,0.6143101545253863,0.0010097196361598202,24
50,10,10,6,0.6143101545253863,0.0010097196361598202,24
50,10,10,10,0.6143101545253863,0.0010097196361598202,24
100,10,1,6,0.6139657836644592,0.0008659473263501378,27
100,10,1,2,0.6138278145695363,0.0007229926015035328,28
50,10,1,10,0.6138046357615894,0.0009092511307226638,29
100,10,5,10,0.6134580573951436,0.0005152835209372442,30
100,10,5,6,0.6134580573951436,0.0005152835209372442,30
100,10,5,2,0.6134580573951436,0.0005152835209372442,30
50,10,1,6,0.6133631346578365,0.0008858783181803627,33
50,10,5,2,0.6123874172185431,0.0022008304155651435,34
50,10,5,6,0.6123874172185431,0.0022008304155651435,34
50,10,5,10,0.6123874172185431,0.0022008304155651435,34
50,5,10,6,0.5609547461368652,0.0012310728061664064,37
50,5,10,2,0.5609547461368652,0.0012310728061664064,37
50,5,10,10,0.5609547461368652,0.0012310728061664064,37
50,5,1,2,0.5607980132450331,0.00120206023488346,40
50,5,1,6,0.5607880794701987,0.0012769632369792846,41
50,5,5,10,0.560346578366446,0.0020109254529777363,42
50,5,5,2,0.560346578366446,0.0020109254529777363,42
50,5,5,6,0.560346578366446,0.0020109254529777363,42
50,5,1,10,0.5603388520971302,0.0020194350494147396,45
100,5,10,2,0.5599116997792495,0.0012078454751865949,46
100,5,10,10,0.5599116997792495,0.0012078454751865949,46
100,5,10,6,0.5599116997792495,0.0012078454751865949,46
100,5,1,2,0.5598796909492274,0.0013009373365005367,49
100,5,1,6,0.5598565121412803,0.0015395313465478417,50
100,5,1,10,0.5597141280353201,0.0016354077842309646,51
100,5,5,6,0.5596777041942603,0.001637202833922859,52
100,5,5,10,0.5596777041942603,0.001637202833922859,52
100,5,5,2,0.5596777041942603,0.001637202833922859,52
