param_max_depth,param_learning_rate,param_n_estimators,param_colsample_bytree,mean_test_score,std_test_score,rank_test_score
10,0.1,1000,0.7,0.7713499999999999,0.0027316432783216814,1
10,0.05,1000,0.7,0.7713375,0.0025728753370499726,2
10,0.1,500,0.7,0.7702500000000001,0.002404423007708912,3
10,0.1,1000,0.3,0.7691,0.0024262883175747998,4
10,0.05,500,0.7,0.768425,0.002955238992027547,5
10,0.05,1000,0.3,0.767675,0.0018351600747618972,6
6,0.1,1000,0.7,0.7676749999999999,0.001508517484154575,7
10,0.1,500,0.3,0.766925,0.001829617446353194,8
10,0.05,500,0.3,0.7647999999999999,0.0020628408809212424,9
6,0.1,1000,0.3,0.764475,0.0009573727069433391,10
6,0.05,1000,0.7,0.7638375,0.0022887633123588953,11
6,0.1,500,0.7,0.7632749999999999,0.002031624965390996,12
10,0.01,1000,0.7,0.7623125,0.00213453742061367,13
10,0.01,1000,0.3,0.7603375,0.0013581927330095628,14
6,0.05,1000,0.3,0.7602125,0.0016505680840244123,15
10,0.1,100,0.7,0.760175,0.002154718659129311,16
6,0.1,500,0.3,0.7596125,0.0014374456511465144,17
10,0.1,100,0.3,0.758,0.0023730254950168556,18
10,0.01,500,0.7,0.75685,0.001820285005157181,19
6,0.05,500,0.7,0.7563124999999999,0.0021737065119283873,20
10,0.05,100,0.7,0.756025,0.0025374076337869073,21
6,0.05,500,0.3,0.7529125,0.0006478329259925189,22
10,0.01,500,0.3,0.7517,0.0014390752238851398,23
10,0.05,100,0.3,0.7507,0.0015367376158602864,24
3,0.1,1000,0.7,0.750475,0.0013604916390775668,25
3,0.1,1000,0.3,0.7477874999999999,0.0009001735943694483,26
6,0.1,100,0.7,0.7436499999999999,0.0015942278695343292,27
6,0.01,1000,0.7,0.743575,0.001096443112979412,28
10,0.01,100,0.7,0.7428875,0.002148546019986543,29
3,0.1,500,0.7,0.742,0.001681703005884248,30
3,0.05,1000,0.7,0.7419875000000001,0.0016976086121365125,31
6,0.01,1000,0.3,0.7410249999999999,0.0006490377492873443,32
6,0.1,100,0.3,0.7406625,0.0017662637119071282,33
3,0.1,500,0.3,0.7393500000000001,0.0007578753195611888,34
3,0.05,1000,0.3,0.7390375,0.0009053659481115772,35
6,0.05,100,0.7,0.7343375,0.0012187339742535898,36
10,0.01,100,0.3,0.7339625,0.001459130734375755,37
6,0.01,500,0.7,0.733625,0.0020070189336426373,38
3,0.05,500,0.7,0.7318875,0.0012198872898756023,39
6,0.05,100,0.3,0.7302625,0.0012914381518291738,40
6,0.01,500,0.3,0.7300125000000001,0.001092159557940155,41
3,0.05,500,0.3,0.729575,0.0011363318177363586,42
3,0.1,100,0.7,0.7175,0.0009897916447414656,43
3,0.01,1000,0.7,0.717475,0.0013616396366146412,44
6,0.01,100,0.7,0.7166374999999999,0.0005411215205478511,45
3,0.01,1000,0.3,0.7149875,0.0021354156504062756,46
3,0.1,100,0.3,0.714775,0.0015510077369246197,47
6,0.01,100,0.3,0.7103124999999999,0.00037914377220255773,48
3,0.05,100,0.7,0.7065125,0.0015142035860478188,49
3,0.01,500,0.7,0.705925,0.0015392774278862296,50
3,0.05,100,0.3,0.703775,0.001252871701332574,51
3,0.01,500,0.3,0.7036125,0.000958025312817987,52
3,0.01,100,0.7,0.6876625,0.0015302164879519658,53
3,0.01,100,0.3,0.682925,0.0007420411039827847,54
